Task Name,Model Associated,Order,Description,Tcode Associated
Generate project Result Analysis,9.1.2.9 (#TBD#) Close/ Settle projects 1.00,11,,Fiori KKA2: Run Results Analysis - Projects (Application)
Generate Purchase Request,4.2.4.1 Process/Review requisitions 1.00,15,,"S/4HANA - DDMRP (Demand Driven MRP) (SAP) (Application),
S/4HANA - eSPP (SAP) (Application)"
Generate quotation from ZLV,5.3.3.5 -PD Complete Service Order ZMPD: PaiD 1.00,28,,Fiori VA21: Create Quotation. Create Sales Quotations (Application)
Generate report detailing PCP and OFE ER changes post M.BOM release,2.5.3.1 R&C Manage engineering change orders 1.00,2,,
"Generate report to review global progress of spares supply, demand and shipments and updated shipment planning",4.1.3.1 -SP Create Unconstrained Plan 2.00,23,,SAP ZSDPR: Spares Delivery Priority Report (Application)
Generate reports for actual costs calculations,9.1.2.1 -ADHOC3 ANALYSIS Perform inventory accounting (Adhoc Cost Analysis) 1.00,10,,
Generate reports for further assessments,11.2.2.6C R&C Monitor and test regulatory compliance position and existing controls (Blocked Sales Transactions) 1.00,8,"ZGTS_OPEN_DO
This is a customized ad-hoc report to list open Delivery orders which are not shipped > check user, material number, ECCN linked to the sales order > Download report when assessment is required. This is a reporting of all delivery orders by report specific attributes. (applicable to all department)
ZGTS_OPEN_SO
This is a customized ad-hoc report to list open Sales orders which are not shipped > check user, material number, ECCN linked to the sales order. This is a reporting all Sales orders by report specific attributes. (applicable to all department)","SAP ZGTS_OPEN_DO: Open Delivery Order report (Application),
SAP ZGTS_OPEN_SO: Open Sales Order Report (Application)"
Generate Sales Order Acknowledgment,3.5.4.5A Enter Sales Orders into system 1.00,70,"BU3 Any type of confirmation agreed upon by parties is accepted
EQ full Sales Director Esigned document required",
Generate Spares Listing Report,9.1.2.1 -MTHLY E&O Perform inventory accounting (Monthly Excess & Obsolescence) 1.00,11,,SAP ZC019: Inventory Aging Analyses Online (Application)
Generate Standard cost breakdown report for buy parts,9.1.2.4 -EXT BUY Perform product costing (Existing Buy Part) 1.00,43,"This report provides the details breakdown of revaluation impact due to foreign exchange changes, price changes or incoming freight adder changes.",SAP ZFI_STD_COST_BRK_REP: Std Cost Breakdwn Report for Buy Prt (Application)
Generate Standard Price Enquiry,9.1.2.1 -ADHOC3 ANALYSIS Perform inventory accounting (Adhoc Cost Analysis) 1.00,26,This report comprises of last PO and latest PIR information is generate for reviewing of purchase parts to be updated on quarterly basis for non FEMS manufacturing plants.,SAP ZC009: Standard price enquiry (Application)
Generate Stock Location Analysis,9.1.2.1 -MTHLY INV RPT Perform inventory accounting (Monthly Inventory Reporting) 1.00,21,"This is an inventory report run at month end for inventory reconciliation.
For MRB/RTV/SECD overview,
T-code MC.5: Input plant 8200, month, storage location
Analyst send to Controller for review (no approval required)",SAP MC.5: INVCO: SLoc Anal. Selection. Stock (Application)
Generate Stock Location Analysis,9.1.2.1 -MTHLY INV RPT Perform inventory accounting (Monthly Inventory Reporting) 1.00,17,"This is an inventory report run at month end for inventory reconciliation.
For MRB/RTV/SECD overview,
T-code MC.5: Input plant 8200, month, storage location
Analyst send to Controller for review (no approval required)",SAP MC.5: INVCO: SLoc Anal. Selection. Stock (Application)
Generate Supplier score card report,4.2.5.2B Prepare/Analyze procurement and vendor performance 1.00,6,,Fiori F2191: Display Scorecards for Strategic Buyer (Application)
Generate task list,"13.3.3.1E.1 SPDA (Non short ship-Type 1)GOPS 8200,3300,GSS 3118 Ariba supplier 1.00",31,Task list is created based on the Type of SPDA(short ship deviation or Non Short ship deviation),
Generate the projects Result Analysis,9.1.2.9 (#TBD#) Close/ Settle projects 1.00,2,,Fiori KKA2: Run Results Analysis - Projects (Application)
Generate Ticket,3.5.2.5 Manage Customer Master Data 1.00,7,,HaloITSM MDM (Master Data Management) (Application)
Generate Valuated Sales Order and Project Stock,9.1.2.1 -MTHLY INV RPT Perform inventory accounting (Monthly Inventory Reporting) 1.00,14,This is an inventory report run at month end for inventory reconciliation.,Fiori MBBS: Display List of Stock Values - Sales Order and Project Stock (Application)
Generate Valuated Sales Order and Project Stock,9.1.2.1 -ADHOC3 ANALYSIS Perform inventory accounting (Adhoc Cost Analysis) 1.00,27,,Fiori MBBS: Display List of Stock Values - Sales Order and Project Stock (Application)
Generate Where Used Query,9.1.2.1 -ADHOC1 MM RPT Perform inventory accounting (Adhoc MM Reporting) 1.00,9,This is to generate where use for material/parts,SAP ZMR015: Multi Level Multiple Mat Where Use (Application)
Generate WIP Aging from FI,9.1.2.1 -MTHLY INV RPT Perform inventory accounting (Monthly Inventory Reporting) 1.00,2,Work in Progress aging report is required at month-end for closing purpose.,SAP ZC013: WIP AGING FORM FI (Application)
Generate WIP Aging from FI,9.1.2.1 -MTHLY INV RPT Perform inventory accounting (Monthly Inventory Reporting) 1.00,24,"Work in Progress aging report is required at month-end for closing purpose.
For FEMS WIP report:
Pull WIP report: T-code ZC013, GL 141010, Company code 8000
Build Plan –> to get customer name, RCP date, PM name, ship-to party, platform line
Shipment overview –> to get customer name, RCP date, PM name, ship-to party, platform line
T-code ZPS01 –> input WBS & company code to get prod hier
This FEMS WIP report is used to produce 2 reports: Assy WIP over 2 months & WBS WIP reports.
Bi-weekly meeting with inventory control team, IQC, purchasing, production planning, logistics, commodity -> to clear aged items
For Non-FEMS WIP reports,
T-code: ZC013, GL 141000, Company code 1000, 2000, 3000, 3300 (4 separate reports)
Analyst send WIP report to planning team & BMO (sample emails shared in previous email)
Planning team & BMO reply with updates",SAP ZC013: WIP AGING FORM FI (Application)
Good receipt in system,"13.3.3.1E.2 SPDA(Short Ship Deviation-Type 1)GOPS 8200,3300,GSS 3118 Ariba supplier 1.00",75,Goods receipt of SPDA material,SAP MB01: Post Goods Receipt for PO (Application)
Grant or update customer access rights in RBA Online,3.5.2.4 Manage customer relationships 1.00,16,Grant or update customer access rights in RBA Online to ensure relevant customers have access to ASM SAQ,RBA Online (Responsible Business Alliance) (Application)
Grant or update customer access rights in RBA Online,12.2.3.1 Evaluate the requirements for strategic requirements 1.00,25,Grant or update customer access rights in RBA Online to ensure relevant customers have access to ASM SAQ,RBA Online (Responsible Business Alliance) (Application)
GTC checklist implementation - CM (Category Manager) Review,11.2.2.6A Monitor and test regulatory compliance position and existing controls 1.00,11,"Key activities:
Based on checklist, CM to perform audit based on Trade requirements for SMIC affiliates. Approval from ASM CM Quality is required prior to shipment to FEMS.
*Applicable for MIT modules & RFK.",SAP IPS OFE Workflow (Order Fullment Equipment Engineering Record) (Inteligent Process System -Workflow engine by LeverX-) (Application)
GTC checklist implementation - MFG Quality,11.2.2.6A Monitor and test regulatory compliance position and existing controls 1.00,12,"Key activities:
To turn on Inspection Lot in SAP and ensure FEMS Manufacturing perform audit based on Trade requirements for SMIC affiliates.",SAP IPS OFE Workflow (Order Fullment Equipment Engineering Record) (Inteligent Process System -Workflow engine by LeverX-) (Application)
Hand over material number for use in supply chain and configurations,4.4.3.4.1 Design Re-Usable Crate 1.00,15,,S/4HANA - AVC (Advanced Variant Configuration) (SAP) (Application)
Hand-off kits to the respective work center,4.4.3.1B Manage and track inventory deployment 2.00,16,,
Hand-over material to shipping team,4.4.3.8A Manage Warehouse Transfers (EWM2IM) 2.00,12,,
Hard slot,3.5.1.6 Manage Opportunity Pipeline 1.00,15,"Approval workflow will be initiated once sales stage reaches 70%, approval of Regional Sales Manager, Sales Director, Product Marketing Manager, Account Manager and OSF(Order Specification Form) document is required before slotting can be done",Halo (workflow application details TBD) (Application)
Help Mfg to Troubleshoot issue,4.3.2.2F Execute detailed line schedule (exception handling 1.00,19,,
Identifiy non-conforming material,13.3.3.3.2C Material purge process 1.00,5,"Scenarios for initiating a material purge are when there is an unacceptable risk for:
Safety
Wafer scrap
Tool down
Quality escape leading to customer impact
Quality escape leading to ASM operational and/or cost impact
Legal implications to ASM
Questionable materials that identified as a possible deviation from as-built",
Identify & Implement Preventive Actions,13.3.3.3 Identify root cause(s) (8D Problem solving) 1.00,19,List preventive actions that address key potential weaknesses in process or performance to prevent further related non-conformances.,
Identify action plans/ owners for bottlenecks noted,4.3.2.6 R&C Assess production performance (Production Mtg) 1.00,6,,
Identify As-Built Corrections in Order BOM,3.5.4.4D OFE ER Phase: Manufacturing [55] + Installed Base [60] 2.00,4,,SAP IPS OFE Workflow (Order Fullment Equipment Engineering Record) (Inteligent Process System -Workflow engine by LeverX-) (Application)
Identify capacity constraints,4.1.2.4A Develop available to promise Build Plan 1.00,21,,Kinaxis ASM_IE_Capacity: Workbook ASM IE Capacity (Application)
"Identify Contact expiry, alert to buyer/commodity manager by e-mail",4.2.3.3 -CONTRACT Negotiate and establish contracts 1.00,36,"An e-mail will be sent to the buyer/commodity manager when :
When contract amount has reached less than either: - X% of total contact amount - Y days to “Valid to date”/ Expiry date?","Fiori ME33K: Display Purchase Contract (Application),
MS Outlook (Application)"
Identify Critical Suppliers,4.2.2.1 R&C Develop sourcing and category management strategies 1.00,6,Critical suppliers (defined as the suppliers that are essential for ASM’s business). Critical suppliers are nominated by the Commodity Managers based on the critical supplier analysis using the following criteria: -Number of similar suppliers in the part family -Number of suppliers on market / alternative products on the market -Switching time / qualification time and cost -Impact to business if supplier stopped supplying parts,
Identify cycle time outliers,4.1.1.5 -SP Define Capacities 2.00,12,,
Identify equipment Opportunities with changed data,4.1.2.1 -EQ-CRM Develop baseline demand forecast - Manage opportunity 1.00,2,,
Identify incorrect useful life maintained,9.3.3.6 Calculate and record depreciation expense 1.00,37,,
Identify invoices needing reversal,9.6.1.11 -INV REV Adjust accounting records (Invoice reversal) 1.00,2,,
Identify items which needs bin to bin movement,4.4.3.8D Manage Warehouse Transfers Bin Management in EWM 1.00,3,"Key activities:
Identify bin's, requiring content transfer due to e.g.: - Item not or no longer fitting - Bin damaged",
Identify list of rejected payments,9.6.1.11 -PAY REV Adjust accounting records (Payment reversal) 1.00,2,,TIS (Treasury Intelligence Solutions) (Application)
Identify matched open items,9.3.2.2 -OIM Process journal entries (Open Item Clearing & ICRRB) 1.00,18,,"Fiori FAGLL03: Display G/L Accounts Line Items - For Ledger (Application),
Fiori FAGLL03H: Display G/L Accounts - Line Items Browser (Application),
Fiori FBL3N: Display G/L Account Line Items (Application),
SAP FS10N: Balance Display (Application)"
Identify new RBA SAQ risks and gaps,12.2.3.1 Evaluate the requirements for strategic requirements 1.00,13,"Identify new risks and gaps per the results of the SAQ, update RBA Committee for gap closure actions discussion",
Identify new RBA SAQ risks and gaps,13.7.2.2 Assess future risks and opportunities 1.00,12,"Identify new risks and gaps per the results of the SAQ, update RBA Committee for gap closure actions discussion",
Identify pending PO due at quarter-end,3.5.1.6 R&C Manage opportunity pipeline 1.00,3,,
Identify PIR creation/extension / update requirements,4.2.3.4B Manage Purchase Info Record 2.00,2,,Halo (workflow application details TBD) (Application)
Identify Reason for PO change,4.2.4.4B Distribute Purchase Order 2.00,15,,
Identify recovery actions needed,5.3.2.4 R&C Identify progress on installation service execution 1.00,7,"Any deviation from the original IQ plan to get necessary attention and recovery action, also to update the cost and cycle time forecast information",
Identify RFK Opportunities with changed data,4.1.2.1 -EQ-RFK Develop baseline demand forecast - Manage Orders 1.00,2,,
Identify Strategic Suppliers,4.2.2.1 R&C Develop sourcing and category management strategies 1.00,2,"On a bi-weekly basis, during the commodity review meetings, the strategic suppliers (defined as the key suppliers with whom we would like to expand business in the future) are identified by the Commodity Managers. Nomination of strategic suppliers is based on suppliers that are targeted key growth suppliers in each part family where ASM is targeting strategic executive and technology alignment.",
"Identify suppliers, validate evaluation methods",4.2.5.2A Prepare/Analyze procurement and vendor performance 2.00,2,"Key activities:
Identified the strategic and critical supplier to be evaluated
Validate for each of the evaluation questions the existence / correctness of:Required data
Scoring options and criteria","Fiori /SRMSMC/WDA_QLB_OVP_MAIN (): Manage Questions - Evaluation (Application),
Fiori F2194: Manage Questionnaire for Strategic Buyer (Application)"
Identify top 5 - 10 key customer accounts,3.5.2.2 R&C Develop sales/key account plan 1.00,6,,
Identify High Risk/ configurable parts,4.1.3.1 -FCST Create Unconstrained Plan 3.00,19,"Filter out configurable parts (1E, 2E, K9 parts) and compare against MR master excel file.
*MR master excel file is a working file maintained by Forecasters
Note: EOL parts should be taken care by ER",MS Office (Application)
Implement & Verify Corrective Actions,13.3.3.3 Identify root cause(s) (8D Problem solving) 1.00,18,"Implement Corrective Actions: Execute the defined action plan to solve the problem
Verify Corrective Actions: Provide objective proof that the corrective actions have resulted in achievement of the problem statement",
Include critical tool NC in Tiger SI Checklist,4.3.3.5 R&C Take corrective or preventive action 1.00,4,,MS Sharepoint (Microsoft) (Application)
Increase credit limit,9.2.1.5 Review Existing Accounts (Process Credit Limit for Customer) 1.00,34,Increase credit limit at BP Master (customer) post analysis and approval obtained,Fiori UKM_BP_DISPLAY: Display Credit Master Data - DEPRECATED - (Application)
Increase credit limit,9.2.1.5 Review Existing Accounts (Process Credit Limit for Customer) 1.00,22,Increase Credit Limit at BP Master (customer) with approval obtained,
"Indicate partner ID, release Service Order",5.3.1.7 -CO Create Service Order ZMCO: field Change Order 3.00,16,"Key Activities:
Update Partner ID (Servicer manager EEID) in the Partner function and release the Service Order.",Fiori IW32: Change Maintenance Order (Application)
Indicated required changes and reject contract,4.2.3.3 -CONTRACT Negotiate and establish contracts 1.00,28,,Fiori F0862: My Inbox for Manager (Application)
Inform Accounts Receivable Accountant of status of bank statement posting,9.2.3.2 -AR Receive/Deposit customer payments (Process Customer Incoming Payments) 1.00,8,Inform Accounts Receivable accountant via email that bank statement has been loaded.,
Inform AP Invoice Accountant to post missing invoice,9.2.2.2 -INV Generate customer billing data 1.00,35,,
Inform AP Payment Accountant of exception in bank statement posting,9.2.3.2 -AR Receive/Deposit customer payments (Process Customer Incoming Payments) 1.00,27,AR accountant will inform the AP payment accountant via email that the bank statement was not loaded in EBS.,
Inform Bank to provide updated bank statement,9.2.3.2 -AR Receive/Deposit customer payments (Process Customer Incoming Payments) 1.00,31,Group Treasurer to inform bank to provide bank statement,
Inform Business Control Analyst and Manager of approved reports,9.1.2.1 -RPT APPROVAL Perform inventory accounting (Approval) 1.00,10,,MS Outlook (Application)
Inform business relevant parties on return request,3.5.4.5A Enter Sales Orders into system 1.00,110,"Sales ops sends email to BU finance, BD (Business Development)/BMO (Business Management Operations manager), PM (Project Management Manager) to inform about return request received
BU finance - to calculate depreciated cost for Eval return
BD/BMO - to align on tool return
PM - to inform business controller on return request",
Inform buyers to follow up on blocked invoices,9.6.1.3 -PO Audit invoices and key data in AP system (PO) 1.00,39,,MS Outlook (Application)
Inform cost center owners of annual fixed asset physical inventory count requirements,9.3.3.8 -YRLY Track fixed-assets including physical inventory 1.00,4,,MS Outlook (Application)
Inform CTSI on failed invoice posting,9.6.1.3 -CTSI Audit invoices and key data in AP system (CTSI) 1.00,14,,MS Office (Application)
Inform Customer,3.5.4.8 Handle sales order inquiries including post-order fulfillment transactions 1.00,8,,
Inform Customer,9.2.2.2 -REBATE Generate customer billing data (Customer Rebate) 2.00,14,,
Inform Customer,3.5.4.8 Handle sales order inquiries including post-order fulfillment transactions 1.00,10,,
Inform Customer,3.5.2.4 Manage customer relationships 1.00,17,,
Inform customer to correct PO,3.5.4.5A Enter Sales Orders into system 1.00,103,,
Inform customer to correct PO,3.5.4.5B Enter sales contracts into system 1.00,22,,
Inform Finance Operation Specialist to increase supplement budget,9.4.2.3 Monitor and track capital projects and budget spending 1.00,30,,
Inform Finance Operations on approved Capex budget,9.4.1.2 Develop and approve capital expenditure plans and budgets 1.00,5,,
Inform Fixed Asset Account of Asset disposal,9.3.3.3 -AA RETIRE Process and record fixed-asset additions and retires (Retires) 2.00,9,,MS Outlook (Application)
Inform GL Accountant of completed costing run,9.1.2.5 Perform variance analysis 1.00,4,,MS Outlook (Application)
Inform Group Consolidation Manager on rejection,9.3.2.1 Maintain chart of accounts 1.00,27,,MS Outlook (Application)
Inform Group Consolidation Manager on report approval,9.3.4.8C Perform legal and management consolidation (Consolidation & Reporting) 1.00,19,,
Inform Group Control FP&A on approved Capex budget,9.4.1.2 Develop and approve capital expenditure plans and budgets 1.00,12,,
Inform internal stakeholder about decision is to let contract expire,4.2.3.3 -CONTRACT Negotiate and establish contracts 1.00,22,"Key activities:
Inform stakeholder on expiration if applicable indicating alternatives
Follow-up on any contractual obligation related to expiration",
Inform IT to update exchange rate,9.7.5.3.1 Manage foreign exchange market data 1.00,10,,MS Outlook (Application)
Inform Logistic to perform IA Adjustment,9.1.2.4 -EXT BUY Perform product costing (Existing Buy Part) 1.00,22,This can be done via Fiori MIGO,MS Outlook (Application)
Inform Project Management on actual costs,9.1.2.1 -ADHOC3 ANALYSIS Perform inventory accounting (Adhoc Cost Analysis) 1.00,20,For intercompany billing purposes,MS Outlook (Application)
Inform relevant parties of completed GRIR written off,9.3.2.2 -GRIR Process journal entries (Monitor and Clear GR/IR Account) 1.00,5,,MS Outlook (Application)
Inform relevant stakeholders of rejection,4.1.2.4B Develop available to promise Build Plan 1.00,32,"Key activities:
Inform and explain the background of the rejected request to the Impacted stakeholder
Possible including but not limited to:
Business Development,
BMO,
Sales Ops,
Supply Chain Head,
Purchasing Head,
Commodities Head,
Program Management Head (KR) and
KPU Heads.",
Inform requester,13.8.1.2 Provide BIA access 1.00,8,,
Inform requester,13.8.1.2 Provide BIA access 1.00,16,,
Inform requester of completed ITCR,4.2.5.1 Monitor Manage supplier information 2.00,60,via Halo workflow,Halo (workflow application details TBD) (Application)
Inform requester of completed transaction,9.1.3.2 Measure cost drivers 1.00,10,,MS Outlook (Application)
Inform requester of created Business Partner created (incl number),4.2.5.1 Monitor Manage supplier information 2.00,47,Via VMR workflow,
Inform requester of WBS project number,9.4.1.3 Review and approve capital projects and fixed-asset acquisitions 1.00,20,"For CKM WBS, the seedstock sub-level (.02.01) will be locked to prevent posting prior to Capex appropriation request raised.",
Inform Requestor,13.1.3.4 Model and document processes 1.00,6,,ADONIS (Read & Explore) (BOC Group) (Application)
Inform requestor Bank Master code as no update needed,9.7.3.1 -MSTR Manage in-house bank accounts for subsidiaries (Manage Bank Master) 2.00,4,Inform requestor that the Bank Master has been created / updated.,
Inform requestor Bank Master Created,9.7.3.1 -MSTR Manage in-house bank accounts for subsidiaries (Manage Bank Master) 2.00,20,Inform requestor that the Bank Master has been created / updated.,
Inform requestor of completed activity,9.3.3.2 Maintain fixed-asset master data files 1.00,10,,MS Outlook (Application)
Inform requestor of completed activity,9.3.3.2 Maintain fixed-asset master data files 1.00,14,,MS Outlook (Application)
Inform requestor of completed activity,9.3.3.2 Maintain fixed-asset master data files 1.00,3,,MS Outlook (Application)
Inform requestor of completed activity,9.3.3.2 Maintain fixed-asset master data files 1.00,18,,MS Outlook (Application)
Inform requestor of Intermediary Bank assignment for Vendor,9.7.3.1 -MSTR Manage in-house bank accounts for subsidiaries (Manage Bank Master) 2.00,30,Inform requestor that Intermediary Bank has been assigned for the Vendor Business Partner.,
Inform requestor of rejected request,9.1.2.4 -NEW BUY Perform product costing (New Buy Part) 1.00,27,"Reject via PowerApp, which will notify requestor",MS PowerApp (Microsoft) (Application)
Inform requestor of rejected request,9.1.2.4 -NEW MAKE Perform product costing (New Make Part) 1.00,7,"Reject via PowerApp, which will notify requestor",MS PowerApp (Microsoft) (Application)
Inform requestor of rejected request,9.3.2.1 Maintain chart of accounts 1.00,13,,
Inform requestor of rejected reversal request,9.3.2.2 -REV Process journal entries (Reversal Document) 1.00,17,"If rejected, requestor will need to raise a new manual journal entry to reverse the entries.",MS Outlook (Application)
Inform requestor of reversed journal/ document,9.3.2.2 -REV Process journal entries (Reversal Document) 1.00,8,,MS Outlook (Application)
Inform requestor of simulated report,9.3.3.6 Calculate and record depreciation expense 1.00,28,,
inform requestor PIR is updated,4.2.3.4B Manage Purchase Info Record 2.00,16,,Halo (workflow application details TBD) (Application)
inform requestor PIR is updated,4.2.3.4B Manage Purchase Info Record 2.00,20,,Halo (workflow application details TBD) (Application)
Inform requestor PIR update is rejected,4.2.3.4B Manage Purchase Info Record 2.00,7,,Halo (workflow application details TBD) (Application)
Inform requestor to correct PIR,9.1.2.4 -EXT BUY Perform product costing (Existing Buy Part) 1.00,10,"Correct either:
1) the conversion of the UOM between Purchase UOM and Material Master UOM or
2) update from budgetary price to final price",MS Outlook (Application)
Inform requestor to work with relevant department to re-GR,9.1.2.4 -EXT BUY Perform product costing (Existing Buy Part) 1.00,20,,MS Outlook (Application)
Inform requestor to work with relevant department to reverse goods receipt,9.1.2.4 -EXT BUY Perform product costing (Existing Buy Part) 1.00,26,Relevant dept will either be from Logistics or Planning and Logistics team,MS Outlook (Application)
Inform Sales Operations of unauthorised shipment,11.2.2.6C R&C Monitor and test regulatory compliance position and existing controls (Blocked Sales Transactions) 1.00,12,,
Inform Sales Operations Specialist on return request,3.5.4.5A Enter Sales Orders into system 1.00,127,Inform Sales Operations Specialist on customer's return request (either standard equipment tool or eval tool).,
Inform Sales Ops to contact customer for outstanding payment,9.2.1.5 Review Existing Accounts (Process Credit Limit for Customer) 1.00,23,Inform Sales Ops to contact customer for outstanding payment in order to release credit block,
Inform Sales Ops to update customer of credit limit decrease,9.2.1.5 Review Existing Accounts (Process Credit Limit for Customer) 1.00,39,Inform Sales Ops to update customer of credit limit decrease after approval is obtained,
Inform Sales Ops to update customer of credit limit increase,9.2.1.5 Review Existing Accounts (Process Credit Limit for Customer) 1.00,35,Inform Sales Ops to update customer of credit limit increase after approval is obtained,
Inform Supplier about the deviation found,13.3.3.1 -IC Assess potential impact (Incoming Quality QN) 1.00,15,,Email (Application)
Inform Treasurer that request is rejected,9.7.3.1 -HSE Manage in-house bank accounts for subsidiaries (Manage House Bank and Bank Account) 2.00,20,"Notification will be sent to the Treasurer in case the request is not valid, and House Bank will not be created.",
Inform Treasurer to get the Bank Statement,9.2.3.2 -AR Receive/Deposit customer payments (Process Customer Incoming Payments) 1.00,9,"If can wait for automatic post, FSS AR team to inform Treasurer to get the bank statement again from Bank.",
Inform vendor of rejected invoice,9.6.1.3 -PO Audit invoices and key data in AP system (PO) 1.00,35,,MS Outlook (Application)
Inform WH about the Discrepant Material,4.3.2.1 Manage raw material inventory (Material Movements from Mfg Floor) 2.00,2,,MS Outlook (Application)
Initate design by providing shipment packaging design specifications to e.g. external party,4.4.3.4.1 Design Re-Usable Crate 1.00,4,,Email (Application)
Initate/ extend CAPA (Corrective and Preventing Action) investigation,4.4.3.5 -GSNIA Track Inventory Accuracy (Goods Scrap Notification Inventory Adjustment) 1.00,8,,
Initiate action item needed per region,5.3.3.1 R&C Conduct service delivery/project review and evaluate success 1.00,8,,
Initiate Capex budget discussions with Controllers,9.4.1.2 Develop and approve capital expenditure plans and budgets 1.00,4,,
Initiate delivery note to be printed for order to be picked,4.1.3.1 -SP Create Unconstrained Plan 2.00,22,,
Initiate final BIA review,13.8.7B Create data models (Release BIA report) 1.00,8,"The PU need to set up a call with the BIA Business Lead to review the BIA Report
The COE Checklist with BIA approval from the Global Process Owner evidence (screen shot) and Global Process Owner approval who can have access need to be filed at the BIA SharePoint folder belonging to the BIA report.
The Data Privacy Assessment and Declaration (if applicable) and the Dataset Catalog should be filed in their BIA SharePoint folder.",Power BI (Microsoft) (Application)
Initiate manufacturing process in line with build plan,4.3.2.6 R&C Assess production performance (Production Mtg) 1.00,8,,
Initiate RFK,3.5.4.7B Process back orders and updates (OFE Change Approval Ticket C Market Team Decision) 1.00,1,,SAP IPS OFE Change Approval ticket Workflow (Order Fulfillment Equipment) (I ) (Application)
Initiate Shipment Delay Request,3.5.4.7B Process back orders and updates (OFE Change Approval Ticket C Market Team Decision) 1.00,11,,SAP IPS OFE Change Approval ticket Workflow (Order Fulfillment Equipment) (I ) (Application)
Initiate SSD request,4.3.2.5C Monitor and optimize production process (SSD) 1.00,2,SSD: Shipment Specification Deviation,K2 SSD: Process (Short Shipment Deviation) (Application)
Initiate update of Freight Adder Conditions,4.2.3.4D Manage Purchasing Price (Freight adder) 3.00,6,,Smart Service Desk (Application)
Input impacted P/N related information,5.3.1.7 -CO Create Service Order ZMCO: field Change Order 3.00,2,"Key Activities:
Enter impacted Part number, Warranty coverage (Mandatory all or warranty tool only), WBS, Service Order description, and reminder frequency",
Inspect and repack materal,13.3.3.3.2D QN use as is follow up 1.00,18,,
Inspect material,4.4.2.2E First Article Inspection (First Article GR Inspection - Physical Verification) 1.00,10,,"Fiori QA32: Process Inspection Lots - Worklist (Application),
Fiori QC55: Process Certificate Receipts - Procurement - Worklist for Quality Engineer (Application)"
Install parts physically,5.3.2.6 Tool/ Parts Installation 1.00,9,"Key Activities:
FSE install the parts
This is mostly an exception situation to implement change proposed by the BU of manufacturing to e.g. resolve SSD
This are offline shipped part not registered in FSM
So no goods issue required",Spanner & Screwdriver (Aka; default toolbox) (Application)
Install parts physically,5.3.2.6 Tool/ Parts Installation 1.00,10,"Key Activities:
FSE Install parts Physically on system",Spanner & Screwdriver (Aka; default toolbox) (Application)
Install parts/ CKM Kits Physically,5.3.2.6 Tool/ Parts Installation 1.00,8,"Key Activities:
FSE Install parts Physically on system",Spanner & Screwdriver (Aka; default toolbox) (Application)
Install Power BI software,13.8.1.1A Provide BIA training (Intake + installation PBI software) 1.00,5,,Power BI (Microsoft) (Application)
Intake BIA program,13.8.1.1A Provide BIA training (Intake + installation PBI software) 1.00,24,"Power BI software is meant for building BIA reports and not for ad hoc analysis.
At ASM we have a BIA program, and we want people to be aware of this.
During this intake session the BIA and Power BI Wiki SharePoint site is deployed (high level).
The requestors are made aware of the responsibilities they have as a Power User, and the time and effort it will take to get trained and certified as Power User.
The requestor(s) will be added to the BIA Teams channel. There they are guided to the environment where they will find the online training material
A training buddy who is already certified as a Power User will get connected. This person can help with questions during the training",
Intake by action owner,13.3.3.3 Identify root cause(s) (8D Problem solving) 1.00,9,There can be all kind of reasons why someone will not accept the assigned task. E.g. there is no bandwidth or priority to update requested Technical Product Documentation.,Fiori QM02: Change Quality Notification for Quality Engineer (Application)
Intake QN,13.3.3.1 -FS Assess potential impact (Field Services QN) 1.00,27,"Again a check which priority should be assigned to the QN
NCRB prioritization sequence.
1) Customer Triage Yes – these are customer impacting NCs and are most likely to lead an escalated Tier 4+ issue => Prio 1
2) FT Yes – these are high cost NCs where there may be preventative actions to prevent reoccurrence => Prio 2
3) No to all triage & PrevSF + sort on “Total Actuals” - Costs can continue to accrue after the triage questions were answered. Preventative actions could prevent reoccurrence. Each KPU shall have a cost threshold for what they will work on. => Prio 2
4) No to all triage & PrevSF + sort on “Material Refs” - some materials could be seeing more frequent than usual references on NCs. This can help identify repeat and trending issues which may require attention. => Prio 3
Note 1: Only one material is referenced per NC (not all materials ordered are listed)
Note 2: This field can also be overwritten in FSM so it does not always correspond to an ordered material
Note 3: This calculates how many other NCs reference this P/N. You may have to widen the NC Creation date filter.
5) No to all Triage & Prev SF + Documentation/BOM/SW Why 5 – Some NCs should be fixed regardless of prioritization and depends on the department which will be working on them. For example; BOM, Documentation, Software will work on every NC. => Prio 3",Fiori QM02: Change Quality Notification for Quality Engineer (Application)
