Tcode Name,Description
Fiori VA88H: Settle Sales Order to Profitability Analysis - Service Provider for Cost Accountant - Sales,
Fiori VB11: Create Material Determination Records for Internal Sales Representative,
Fiori VB13: Display Material Determination Records for Internal Sales Representative,
Fiori VD03: Display Customer (Sales),
Fiori VD53: Display Customer-Material Info,
Fiori VD59: List Customer-Material Info,
Fiori VF01: Create Billing Documents. Create Billing Documents - VF01,
Fiori VF02: Change Billing Document,
Fiori VF03: Display Billing Documents,
"Fiori VF04: Create Billing Documents - VF04, Maintain Billing Due List",
Fiori VF05: List Billing Documents - VF05,
Fiori VF05N: List Billing Documents - VF05N,
Fiori VF11: Cancel Billing Documents,
Fiori VF31: Output from Billing Documents for Project Manager (Commercial Project Management),
Fiori VFX3: List Blocked Biling Documents,
Fiori VG01: Create Delivery Group,
Fiori VG02: Change Delivery Group,
Fiori VK11: Create Condition,
Fiori VK12: Set Material Prices - Sales. Set Service Prices - Sales. Set Tax Rates - Sales,
Fiori VK13: Display Condition,
Fiori VK33: Condition Maintenance: Display,
Fiori VKM4: Manage Credit Decisions - SD Documents,
Fiori VL01N: Create Outbound Delivery - With Order Reference,
Fiori VL01NO: Create Outbound Delivery - Without Order Reference,
Fiori VL02N: Change Outbound Delivery. Change Returns Delivery,
Fiori VL03N: Display Outbound Delivery. Display Returns Delivery,
Fiori VL06: Delivery Monitor,
Fiori VL06C: Outbound Deliveries for Confirmation,
Fiori VL06D: Outbound Deliveries for Distribution,
Fiori VL06F: General Outbound Delivery List,
Fiori VL06G: Outbound Deliveries for Goods Issue,
Fiori VL06I: My Inbound Delivery Monitor,
Fiori VL06IC: Inbound Deliveries for Confirmation,
Fiori VL06ID: Inbound Deliveries for Distribution,
Fiori VL06IF: General Inbound Delivery List,
Fiori VL06IG: Inbound Deliveries for Goods Receipt,
Fiori VL06IP: Inbound Deliveries for Putaway,
Fiori VL06L: Outbound Deliveries for Loading,
Fiori VL06O: My Outbound Delivery Monitor,
Fiori VL06P: Outbound Deliveries for Picking,
Fiori VL06T: Outbound Deliveries for Transportation Planning,
"Fiori VL09: Reverse GI - Outbound Delivery, Reverse Goods Receipt for Inbound Delivery",
Fiori VL10: My Sales Order Due for Delivery - Edit User-Specific Criteria,
Fiori VL10A: My Sales Orders - Due for Delivery,
Fiori VL10B: My Purchase Orders - Due for Delivery,
Fiori VL10C: My Sales Order Items - Due for Delivery,
Fiori VL10D: My Purchase Order Items - Due for Delivery,
Fiori VL10E: My Sales Order Schedule Lines - Due for Delivery,
Fiori VL10F: My Purchase Order Schedule Lines - Due for Delivery,
Fiori VL10G: My Documents - Due for Delivery,
Fiori VL10H: My Items - Due for Delivery,
Fiori VL10I: My Schedule Lines - Due for Delivery,
Fiori VL10X: VL10 (technical),
Fiori VL22N: Display Delivery Change Documents,
Fiori VL23: Outbound Deliveries for Transportation Planning,
Fiori VL31N: Create Inbound Delivery,
Fiori VL32N: Change Inbound Delivery,
Fiori VL33N: Display Inbound Delivery,
Fiori VL66: Delete Inbound Deliveries,
Fiori VL70: Output - From Picking Lists,
Fiori VL71: Print Inbound Delivery - Manually. Print Outbound Delivery - Manually,
Fiori VL75: Output - From Shipping Notification,
Fiori VLPOD: Change Outbound Delivery - Proof of Delivery,
Fiori VLPODL: Deliveries for Proof of Delivery,
Fiori VT01N: Create Shipment,
Fiori VT02N: Change Shipment DEPRECATED,Observed 27 Feb 25: Deprecated for selected release version applicable to SAP version 2020 on
Fiori VT03N: Display Shipment,
Fiori VV11: Create Output Condition Records - Sales for Internal Sales Representative,
Fiori VV12: Change Output Condition Records - Sales for Internal Sales Representative,
Fiori VV13: Display Output Condition Records - Sales for Internal Sales Representative,
Fiori W0056: Data Analysis - Reporting Logic,
Fiori W0059: Consolidated Balance Sheet,
Fiori W0060: Consolidated Balance Sheet - By Movements,
Fiori W0061: Consolidated Balance Sheet - By Subgroups,
Fiori W0062: Consolidated Balance Sheet - Year Comparison,
Fiori W0063: Consolidated P&L by Function - Year Comparison,
Fiori W0067: Consolidated P&L by Function,
Fiori W0068: Consolidated P&L by Function - By Subgroups,
Fiori W0070: Consolidated P&L by Nature,
Fiori W0071: Consolidated P&L by Nature - By Functional Areas,
Fiori W0072: Consolidated P&L by Nature - By Subgroups,
Fiori W0073: Consolidated P&L by Nature - Year Comparison,
Fiori W0074: P&L by Nature of Expense - By Consolidation Units,
Fiori W0076: Internal Orders - Plan/Actuals for Cost Accountant - Overhead,
Fiori W0097: Trial Balance Comparison for General Ledger Accountant,
Fiori W0099: Interunit Reconciliation - Group View (Restricted Use),
Fiori W0100: Statement of Comprehensive Income,
Fiori W0101: Statement of Changes in Equity,
Fiori W0103: Interunit Reconciliation - Unit View (Restricted Use),
Fiori W0104: Cash Flow Statement,
Fiori W0135: Group Data Analysis for Business Analyst - Group Reporting,
Fiori W0136: Group Data Analysis with Reporting Rules for Business Analyst - Group Reporting,
Fiori W0148: Analyze Detailed Statement Purchasing Rebate for Contract Manager - Settlement Management,
Fiori W0154: Contract Balance Movements for Revenue Accountant,
Fiori W0155: Contract Balance for Revenue Accountant,
Fiori W0156: Disaggregation of Recognizable Revenue for Revenue Accountant,
Fiori W0157: Disaggregation of Revenue for Revenue Accountant,
Fiori W0159: Remaining Performance Obligation for Revenue Accountant,
Fiori W0165: Budgetary Accounting Items Analyzer,
Fiori W0176: Contract Balance Reclassification for Revenue Accountant,
Fiori WB2R_AB_DOCS: Display Settlement Documents - Condition Contracts,
Fiori WB2R_BUSVOL: Display Business Volume - Condition Contracts,
Fiori WB2R_SC: Settle Condition Contracts,
Fiori WB2R_SV: Settle Condition Contracts. Settle Sales Commissions,
Fiori WB2R_SV_CORR: Correct Settlements,
Fiori WCOCO: Maintain Contract - Condition Contracts for Contract Manager - Settlement Management,
Fiori WSV2: Create Assortment Module - Value Contract:,
Fiori WZR4: Reverse Settlement Document,
Fiori XD03: Display Customer (Centrally),
Fiori XK03: Display Vendor (Centrally),
GITLAB,
GTS ZPR037: Data for material planning,
Halo (workflow application details TBD),"Replacement for K2.
Name and details to be refined once known"
HaloITSM MDM (Master Data Management),This was a K2 formerly a K2 workflow
Idea Management (ITONICS),"System ID: SB-06
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
IPS (LeverX) (Inteligent Process System -workflow engine-),"Integrated Process Solution (WF engine)
System ID: S1-06
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
iRPA (SAP),"SAP Intelligent Robotic Process Automation
System ID: SA-19
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
ITS Mobile (SAP),"Front End for RF Scanners for warehouse transactions
System module ID: SA-08
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
JMP (SAS),"JMP statistical discovery Client Software
System ID: SB-10
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
K2 (Workflow application),"K2 (to replace by PowerApps)
System ID: SA-02
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
K2 APT (Automated Parts Tracking),There is NO alternative application indicated for this workflow (13 June 2024)
K2 China Controlled Shipment Process,This application is indicated (tentatively) to be replaced by a Power App (13 June 2024)
K2 CNN (Customer Change Notification),There is NO indicated alternative application for this workflow (13 June 2024)
K2 Customer Master Request,This workflow is indicated (tentatively) to be replaced by a HaloTSM application
K2 Hard Slot Process,This application is indicated (tentatively) to be replaced by a Power App (13 June 2024)
K2 SSD: Process (Short Shipment Deviation),This workflow is indicated (tentatively) to be replaced by a Power App (13 June 2024)
K2: Shipping Request,This workflow is indicated (tentatively) to be replaced by a Power App (13 June 2024)
Kinaxis - Collaboration feature,
Kinaxis ASM_DM_Build_Plan: Workbook ASM DM Build Plan,"Workbook: ASM DM Build Plan Update-System
Workbook: ASM DM Build Plan Update-RFK
Workbook: ASM DM Build Plan changes
Workbook: ASM Build Plan Approval
Workbook: ASM DM Build Plan Summary"
Kinaxis ASM_IE_Capacity: Workbook ASM IE Capacity,"Workbook: ASM IE Capacity Master
Workbook: ASM IE Capacity Maintenance"
Kinaxis Kinaxis: Sales & Operations Demand Planning Tool,"Demand Planning
System ID: S4-02
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
KPRO Content Server (JP) (SAP),"DMS Content Server (JP)
System module ID: S1-07
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
KPRO Content Server (KR) (SAP),"DMS Content Server (KR)
System module ID: S1-08
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
KPRO Content Server (Multiple Countries) (SAP),"DMS Content Server (SG)
System ID: S1-10
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
KPRO Content Server (NL) (SAP),"DMS Content Server (NL)
System module ID: S1-09
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
KPRO Content Server (SG) (SAP),"DMS Content Server (SG)
System module ID: S1-10
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
KPRO Content Server (US) (SAP),"DMS Content Server (US)
System module ID: S1-11
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
KSU7 Create Plan Assessment Cycle,
KSU8 Change Plan Assessment Cycle,
L’EASY (Longview),"Leasing software
System ID: S7-05
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
MS .Net (Microsoft),"Microsoft .NET Framework
System ID: SB-02
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
MS Office,MS: MicroSoft
MS Outlook,MS: MicroSoft
MS PowerApp (Microsoft),"Microsoft PowerApp
System ID: SA-03
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
MS RPA (Robotic Process Automation),"RPA: MicroSoft Robotic Process Automation
System ID: SA-04
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
MS Sharepoint (Microsoft),"System ID: SB-07
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
Navision (EOS),"ERP (LPE)
System ID: SA-16
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
OBOMA (elogic) (Order BOM Accelerator),"Order BOM Accelerator
System ID: S1-16
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
OneComm FA (ASM),"Failure Analyis (FA)
System ID: SA-05
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
Optravis,"Transfer Pricing Application
System ID: S7-15
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
Paper & Pencil,
Power App (used by IQ&S) org,
Power BI (Microsoft),"Self Service BIA Visualization
System ID: S9-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
PowerApps,
Price Tracker (SharePoint site by spares),
Pro.File - Biztalk / TOMCAT (FINCAD / CIDEON),"PROFILE to Biztalk
System module ID: S1-20
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
Pro.File (FINCAD),"PLM (LPE)
System ID: S1-20
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
Process Optimizer (.Riess),"ABAP Program
System module ID: S1-31
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
RBA Online (Responsible Business Alliance),
RFID (Delaware),"RFID for Logistics
System ID: S4.2-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
RFID Scanner,
RPA,
RUNDA (Microsoft),"Sharepoint
System module ID: SB-07
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
S/4HANA - aATP (Advanced Available-to-Promise) (SAP),"SAP Advanced Available-to-Promise
System module ID: SA-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
S/4HANA - AVC (Advanced Variant Configuration) (SAP),"SAP Advanced Variant Configuration
System module ID: SA-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
S/4HANA - CLM RE-FX (Contract and Lease Management) (SAP),"SAP Contract and Lease Management
System module ID: SA-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
S/4HANA - DDMRP (Demand Driven MRP) (SAP),"SAP Demand Driven MRP
System module ID: SA-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
S/4HANA - eSPP (SAP),"SAP eSPP
System module ID: SA-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
S/4HANA - EWM (Extended Warehouse Management) (SAP),"SAP Extended Warehouse Mgt
System module ID: SA-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
S/4HANA - FCC (Financial Closing Cockpit) (SAP),"SAP Financial Closing Cockpit
System module ID: SA-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
S/4HANA - Group Reporting (SAP),"SAP Finance for Group Reporting
System module ID: SA-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
S/4HANA - HUM (Handling Unit Management) (SAP),"SAP Handling Unit Management
System module ID: SA-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
S/4HANA - MLAC (Material Ledger with Actual Costing) (SAP),"SAP Material Ledger with Actual Costing
System module ID: SA-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
S/4HANA - pMRP (Predictive Material Resource Planning) (SAP),"SAP Predictive MRP
System module ID: SA-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
S/4HANA - PPDS (Production Planning Detailed Scheduling) (SAP),"SAP Production Planning / Detailed Scheduling
System module ID: SA-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
S/4HANA - RAR (Revenue Accounting and Recognition) (SAP),"SAP Revenue Accounting and Recognition
System module ID: SA-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
S/4HANA - Service (SAP),"SAP Service
System module ID: SA-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAMS (System Analysis and Modeling Studio) (elogic),"System Analysis and Modeling Studio (VC)
System ID: S1-12
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP /BLACKLIN/BL01: Blackline - Standard G/L Extract,
SAP /BLACKLIN/BL04: BlackLine - Currency Rate Extract,
SAP /BLACKLIN/BL10: BlackLine - A/P SubLedger Extract,
SAP /BLACKLIN/BL11: Blackline - A/R SubLedger Extract,
SAP /BLACKLIN/BL12: BlackLine - AA SubLedger Extract,
SAP /BLACKLIN/BL13: BlackLine - Open Items Extract,
SAP /BLACKLIN/BLMM: BlackLine - MM SubLedger Extract,
SAP /BLACKLIN/BLOIC: BlackLine Clearing Import,
SAP /BLACKLIN/BLOIC_API: Import Clearing data via API,
SAP /BPICS/EBS_WB: EBS Workbench (Electronic Bank Statement),
SAP /CIDEON/SYSTEM_INFO: Display system information,
SAP /DSCSAG/ADMIN: Manage PLM preferences,
SAP /DSCSAG/QUICKSEARCH: ECTR Quick Search,
SAP /ELOGIC/SAMs: eLogic Modeling Studio,
SAP /LVX/ICS_DATA_EXPORT: IPS Data Export,
SAP /LVX/ICS_DATA_IMPORT: IPS Data Import,
SAP /LVX/ICS_WF_ACTIVE: Find Active Workflow With No Active,
SAP /LVX/IPS_WFT_DETAILS: WF Template Details,
SAP /PACG/ECM_CHECKL_MON: Checklists monitoring,
SAP /PLMA/A_T_S_D_GROUP: Maintain layer,
SAP /PLMA/ARCHIVE_AP_AND:,
SAP /PLMA/CALL_IMG_CE:,Display name of this transaction is intendedly blank as it has none
SAP /PLMA/CCC: CIDEON conversion server control cen,
SAP /PLMA/CE_CEHOST: Maintainance dialog conversion rules,
SAP /PLMA/CE_SC: Maintainance dialog conversion rules,
SAP /PLMA/CE_SC_CC: Maintainance dialog conversion rules,
SAP /PLMA/CE_SC_WSA: Maintainance dialog conversion rules,
SAP /PLMA/CEC_MONITORING: Automatically CE-Client Monitoring,
SAP /PLMA/CEHOST_CE_SC:,Display name of this transaction is intentionally left blank as it has none
SAP /PLMA/CNV_SPC_AL: ArchiveLink Conversion Rules,
SAP /PLMA/CONF_CHKOU: Maintainance dialog conversion rules,
SAP /PLMA/CONF_RFC_D: Maintainance dialog conversion rules,
SAP /PLMA/CONF_STAMPS: Maintainance dialog conversion rules,
SAP /PLMA/CONFIG_EXP_IMP:,Display name of this transaction is intentionally left blank as it has none
SAP /PLMA/CONV_AL01: Create ArchiveLink Work Packages,
SAP /PLMA/CONV_AL02: Restrict AL-Rules to Business Obj.,
SAP /PLMA/CONV_DYN_CE: Maintainance dialog conversion rules,
SAP /PLMA/CONV_NOTIFY: Maintainance dialog notifications,
SAP /PLMA/CONV_SP_CC01: Maintainance dialog conversion rules,
SAP /PLMA/CONV_SP_CC02: Maintainance dialog conversion rules,
SAP /PLMA/CONV_SPEC: Maintainance dialog conversion rules,
SAP /PLMA/CONV_TEST_AP_G:,Display name of this transaction is intentionally left blank as it has none
SAP /PLMA/CONV_TEST_AP_T: Test storage at client,
SAP /PLMA/CONV02: Conversion for original data,
SAP /PLMA/CV_MNT_CV_TXT:,Display name of this transaction is intentionally left blank as it has none
SAP /PLMA/CV_SP_RULE: Maintainance dialog conversion rules,
SAP /PLMA/CV_SP_WSA: Maintainance dialog conversion rules,
SAP /PLMA/CV_SP_WSA2: Maintainance dialog conversion rules,
SAP /PLMA/CV_SP_WSA3: Maintainance dialog conversion rules,
SAP /PLMA/DOC_TYPE_GROUP: Maintain layer,
SAP /PLMA/LAYER: Maintain layer,
SAP /PLMA/LAYER_GR: Maintain layergroup,
SAP /PLMA/LAYER_L_GR: Maintain layer of layergroup,
SAP /PLMA/QVSE:,Display name of this transaction is intentionally left blank as it has none
SAP /PLMA/SEL_TO_CONV: Conversion via selection,
SAP /PLMA/STOR_CAT_GROUP: Maintain layer,
SAP /PLMA/TRIGGER: Maintain autom. triggered conversion,
SAP /PLMA/WSA_GROUP: Maintain layer,
SAP /RIESSEGE/DELDBLGEN:,Display name of this transaction is intentionally left blank as it has none
SAP /RIESSEGE/DRWRELTYPE:,Display name of this transaction is intentionally left blank as it has none
SAP /RIESSEGE/PON,Display name of this transaction is intentionally left blank as it has none
SAP /SAPAPO/BOD001: Maintain BOD,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
SAP /SAPAPO/BODMASS: Mass Assignment of BOD to future BOD,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
SAP /SAPAPO/CDPS0: DPS Variable View,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
SAP /SAPAPO/DEPL_IND_DEF: Maintain Deployment Indicator Rules,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
SAP /SAPAPO/DEPLSPRF: SPP Deployment: Service Profil,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
SAP /SAPAPO/DRPC_EP: Profile: DRP Approval Maximum Values,
SAP /SAPAPO/PE_CFG: Define Planning Profile,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
SAP /SAPAPO/PE_SEL: Define Selections,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
SAP /SAPAPO/PINV_EX_MAIN: Maintain Location Exclusion Table,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
SAP /SAPAPO/PINV_MS_MAIN: EOQ/SFT Model Determination Rules,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
SAP /SAPAPO/PINV_TL_MAIN: Maintain Target Safety Stock Values,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
SAP /SAPAPO/PLANNER: Maintain Planner,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
SAP /SAPAPO/PLN_GRP: Assignment Analyst to Supp. + PrGrp.,
SAP /SAPAPO/PROD2BOD_M: Assign and Unassign Product to BOD,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
SAP /SAPAPO/PROD2BODDISP: Display Assignment-> Products to BOD,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
SAP /SAPAPO/RAWDEM_CHG: SPP Demand-history adjustment,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
SAP /SAPAPO/RDPLPRFA: Inventory Planning Profile – Area,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
SAP /SAPAPO/SDDEMCOPY: Transaction for SD Demand Copy,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
SAP /SAPAPO/SPP_NOTE_DEL: Delete Analyst Node,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
SAP /SAPAPO/SPP_PLN_LIST: Planner’s Worklist,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
SAP /SAPAPO/SPP_SCHD_EXP: Explanation Prog. for SPP Scheduler,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
SAP /SAPAPO/SPP_SSD: SPP Supplier Shutdown,
SAP /SAPAPO/SPP_STO_APPR: SPP Deployment: Approval of STOs,
SAP /SAPAPO/SPPDMDH: SPP Demand History,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
SAP /SAPAPO/SPPDMRD: SPP Raw Data Adjustment,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
SAP /SAPAPO/SPPDRPMR: SPP DRP Release Filter,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
SAP /SAPAPO/SPPINBD: SPP Inbound Delivery Monitor - Standard Times,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
SAP /SAPAPO/SPPINVPDEC: SPP Decision Tables,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
SAP /SAPAPO/SPPLONGFCST: SPP Long-Term Forecasting,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
SAP /SAPAPO/SPPNEWFCST: SPP Forecast for New Products,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
SAP /SAPAPO/SPPSUSEXPL: Product Substitution Explanation,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
SAP /SAPAPO/TIERDEF: Priority Tier Hierarchy Definition,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
SAP /SAPAPO/TRIGGER: Trigger,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
SAP /SAPSLL/BL_DOC_MM_R3: GTS: LCI: Blocked MM Docmts,
SAP /SAPSLL/BL_DOCS_EXP: Blocked transactions,
SAP /SAPSLL/CUHD_MR_EXP: Recheck Export Customs Documents,
SAP /SAPSLL/CUOR04_EXP: Display Existing Export Custs Docmts,
SAP /SAPSLL/DS_D_SD0A_R3: GTS: Transfer SD Orders to GTS,
SAP /SAPSLL/LCLIC02: Change License,
SAP /SAPSLL/MENU_LEGAL: GTS Global Trade Services Area Menu,
SAP /SAPSLL/MENU_LEGALR3: GTS: Global Trade Services Area Menu,
SAP /SAPSLL/PR_CLWB_002: Display Classification Worklist,
SAP /SAPSLL/PR_CLWB_CUS: Display Classification Worklist,
SAP /SAPSLL/PRODUCT_02: Change Customs Product Master,
SAP /SAPSLL/SPL_BLCD: Display Blocked Customs Documents,
SAP /SCWM/WM_BATCH_MAINT: Maintain Batches for Product Product,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
SAP /TAXMARC/TC0095: Invoice Tax determination simulation,
SAP /WMD/FP_ARCM: ArchiveLink Monitor,
SAP /WMD/FP_INVM: Invoice Monitoring,
SAP /WMD/XF_AGDET: xFlow agent determination,
SAP 3DVE - DMU (Digital Mock Up),"SAP Digital Mock Up (in PSM)
System module ID: S1-21
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP 3DVE - VE Web Viewer,"SAP Fiori - Visual Enterprise Web GL (ECC+UI5)
System module ID: S1-13
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP 3DVE - VEA ( Visual Enterprise Author),"SAP Visual Enterprise Author
System module ID: S1-13
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP 3DVE - VEG (Visual Enterprize Generator),"SAP Visual Enterprise Generator
System module ID: S1-13
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP 3DVE - VEV (Visual Enterprise Viewer),"SAP Visual Enterprise Viewer
System module ID: S1-13
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP 3DVE (Visual Enterprise),"SAP 3D Visual Enterprise
System ID: S1-13
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP 3KE5: EC-PCA: Execute Actual Assessment,
SAP 4KE5: EC-PCA: Execute Actual Distribution,
SAP 6KEA: Profit Center: Display Changes,
SAP 8KEG_03: Display Pricing Report,
SAP 8KEG_16: Execute Pricing Report,
SAP AB01: Create asset transactions,
SAP AB03: Display Asset Document,
SAP ABT1: Intercompany Asset Transfer,
SAP ACF (Active Component Framework),"SAP Active Component Framework
System ID: S1-22
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP Adobe Form (Interactive Forms),"SAP Interactive Forms by Adobe
System ID: SA-06
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP AFAB: Post depreciation,
SAP AFBP: Create depreciation posting log,
SAP AFO Account Payable,"AFO: Analytics For Office
The Account Payable report contains the worksheets:
Aging Intercompany
Aging 3rd Party"
SAP AFO Accounts Receivable,"AFO: Analytics For Office
The Accounts Receivable report contains the worksheets:
Due % Trend
Overdue Ageing
Due Date Forecast"
SAP AFO Accounts Receivable - Customer Aging - Intercompany,"AFO: Analytics For Office
The Account Payable report contains the worksheet:
Overdue Aging (Interco) by Customer"
SAP AFO Balance Sheet (FI),"AFO: Analytics For Office
The Balance Sheet (FI) report contains the worksheets:
GL: Balance Sheet Entity by Month
GL: Balance Sheet Overview"
SAP AFO Balance Sheet (FI) - Consolidated (IFRS),"AFO: Analytics For Office
The Balance Sheet (FI) - Consolidated (IFRS) report contains the worksheets:
Overview
Entity By Month"
SAP AFO Bookings (COPA/Sales),"AFO: Analytics For Office
The Bookings (COPA/Sales) report contains the worksheets:
Bookings"
SAP AFO Bookings Revenue and Backlog (Spares),"AFO: Analytics For Office
The Bookings (COPA/Sales) report contains the worksheets:
Bookings
Revenue
Forecast Revenue
Backlog SO Currency
Backlog CO Currency"
SAP AFO CAPEX Report,"AFO: Analytics For Office
The Account Payable report contains the worksheets:
Production Order For Capital Expenditure
PR/PO Capital Expenditure
CAPEX Report - Primary Cost
CAPEX Report - Asset Settlement"
SAP AFO Corporate Forecasting Bookings,"AFO: Analytics For Office
The Corporate Forecasting Bookings report contains the worksheets:
Current Year
4 Rolling Quarters
Open Date"
SAP AFO Corporate Forecasting Revenue,"AFO: Analytics For Office
The Corporate Forecasting Revenue report contains the worksheets:
Current Year
4 Rolling Quarters
Open Date"
SAP AFO Corporate Forecasting Summary,"AFO: Analytics For Office
The Corporate Forecasting Summary report contains the worksheets:
Booking
Revenue"
SAP AFO Cost Center Results (COPA),"AFO: Analytics For Office
The Cost Center Results (COPA) report contains the worksheets:
Overview by Cost Center
Overview by Cost Element
Cost Center by month
Cost Element by month
Absorption % by month"
SAP AFO Cost Center Results Details,"AFO: Analytics For Office
The Cost Center Results Details report contains the worksheets:
Overview
Plan vs actual costs
Actual costs by month"
SAP AFO CRM Data Analysis,"AFO: Analytics For Office
The CRM Data Analysis report contains the worksheets:
By Sales Phase
By Ship Quarter
By Ship Quarter (Chamber)"
SAP AFO Dev. Project Cost (R&D),"AFO: Analytics For Office
The Dev. Project Cost (R&D) report contains the worksheets:
By Project Type
By Cost Element
Actual Vs Plan"
SAP AFO Equipment Opportunity,"AFO: Analytics For Office
The Equipment Opportunity report contains the worksheets:
Opportunities >= 70%
Opportunities > 0%
Ship Date Delta (>=50%)"
SAP AFO Exchange Rates,"AFO: Analytics For Office
The Exchange Rates report contains the worksheets:
-
Trend"
SAP AFO External Forecast Bookings,"AFO: Analytics For Office
The External Bookings, Revenue and Backlog report contains the worksheets:
Current Year
4 Rolling Quarters
Open Date"
SAP AFO Finance Shared Service KPI - AP Analysis,"AFO: Analytics For Office
The Finance Shared Service KPI - AP Analysis report contains the worksheets:
Summary
Detail
Trend"
SAP AFO Finance Shared Service KPI - AR Collection,"AFO: Analytics For Office
The Finance Shared Service KPI - AR Collection report contains the worksheets:
Summary
Detail"
SAP AFO Finance shared Service KPI - AR Credit Memo,"AFO: Analytics For Office
The Finance shared Service KPI - AR Credit Memo report contains the worksheets:
Trend
Detail
Breakdown"
